,unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,landmark,closed_date,response_time,day_of_week,hour,location_latitude,location_longitude,location_human_address
262,64959708,2025-05-15 23:59:58,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,10014,463 HUDSON STREET,HUDSON STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint and took action to fix the condition.,2025-05-16T00:36:54.000,02 MANHATTAN,1006030062,MANHATTAN,982404,205784,ONLINE,Unspecified,MANHATTAN,40.73150602400057,-74.00666065813923,MORTON STREET,BARROW STREET,MORTON STREET,BARROW STREET,HUDSON STREET,2025-05-16 00:36:51,0.6147222222222222,Thursday,23,40.73150602400057,-74.00666065813923,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
263,64957409,2025-05-15 23:59:49,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,203 HENRY STREET,HENRY STREET,ADDRESS,NEW YORK,Closed,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-05-16T00:23:19.000,03 MANHATTAN,1002850013,MANHATTAN,987730,199265,PHONE,Unspecified,MANHATTAN,40.71361245377832,-73.98744698383513,JEFFERSON STREET,CLINTON STREET,JEFFERSON STREET,CLINTON STREET,HENRY STREET,2025-05-16 00:23:15,0.39055555555555554,Thursday,23,40.71361245377832,-73.98744698383513,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
264,64961766,2025-05-15 23:59:40,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10452,957 WOODYCREST AVENUE,WOODYCREST AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD has already attempted to notify the property owner that the condition exists; the tenant should provide access for the owner to make the repair.  HPD may attempt to contact the tenant by phone to verify the correction of the condition or an HPD Inspector may attempt to conduct an inspection.,2025-05-15T00:00:00.000,04 BRONX,2025110068,BRONX,1003936,242233,PHONE,Unspecified,BRONX,40.8315271048226,-73.92886303221528,,,,,,,,Thursday,23,40.8315271048226,-73.92886303221528,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
265,64958096,2025-05-15 23:59:29,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10462,2115 CROSS BRONX EXPRESSWAY SR NORTH,CROSS BRONX EXPRESSWAY SR NORTH,ADDRESS,BRONX,In Progress,,,09 BRONX,2038110006,BRONX,1024888,242177,MOBILE,Unspecified,BRONX,40.83130184780535,-73.85315171461929,GLEASON AVENUE,POWELL AVENUE,GLEASON AVENUE,POWELL AVENUE,CROSS BRONX EXPRESSWAY,,,Thursday,23,40.83130184780535,-73.85315171461929,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
266,64952473,2025-05-15 23:59:26,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,1121 MORRISON AVENUE,MORRISON AVENUE,ADDRESS,BRONX,In Progress,,,09 BRONX,2037440034,BRONX,1019105,240689,PHONE,Unspecified,BRONX,40.82724243354069,-73.87405669347525,WATSON AVENUE,HARROD PLACE,WATSON AVENUE,HARROD PLACE,MORRISON AVENUE,,,Thursday,23,40.82724243354069,-73.87405669347525,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
267,64959112,2025-05-15 23:59:00,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),Unknown,10453,Unknown,,INTERSECTION,BRONX,Open,,,05 BRONX,,BRONX,1009813,249776,PHONE,Unspecified,BRONX,40.852215370556685,-73.90759727442882,,,WALTON AVENUE,EAST 179 STREET,,,,Thursday,23,40.852215370556685,-73.90759727442882,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
268,64955072,2025-05-15 23:58:38,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11203,KINGSTON AVENUE,KINGSTON AVENUE,INTERSECTION,,In Progress,,2025-05-16T01:08:56.000,09 BROOKLYN,,BROOKLYN,1000189,179698,PHONE,Unspecified,BROOKLYN,40.659891861676975,-73.94255131903205,KINGSTON AVENUE,RUTLAND ROAD,KINGSTON AVENUE,RUTLAND ROAD,,,,Thursday,23,40.659891861676975,-73.94255131903205,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
269,64955024,2025-05-15 23:58:37,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10453,1759 JEROME AVENUE,JEROME AVENUE,ADDRESS,BRONX,In Progress,,2025-05-16T02:10:08.000,05 BRONX,2028610074,BRONX,1008585,248293,MOBILE,Unspecified,BRONX,40.84814844652138,-73.91204151286445,EAST  175 STREET,WEST  176 STREET,EAST  175 STREET,WEST  176 STREET,JEROME AVENUE,,,Thursday,23,40.84814844652138,-73.91204151286445,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
270,64959298,2025-05-15 23:58:33,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11418,86-13 108 STREET,108 STREET,ADDRESS,RICHMOND HILL,In Progress,,,09 QUEENS,4092040084,QUEENS,1028514,193390,PHONE,Unspecified,QUEENS,40.69737694703203,-73.84037020047232,86 AVENUE,JAMAICA AVENUE,86 AVENUE,JAMAICA AVENUE,108 STREET,,,Thursday,23,40.69737694703203,-73.84037020047232,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
271,64960548,2025-05-15 23:58:20,DOHMH,Department of Health and Mental Hygiene,Indoor Air Quality,Chemical Vapors/Gases/Odors,3+ Family Apartment Building,10454,40 BRUCKNER BOULEVARD,BRUCKNER BOULEVARD,ADDRESS,BRONX,In Progress,,,01 BRONX,2022950051,BRONX,1004423,233181,ONLINE,Unspecified,BRONX,40.80668082306801,-73.92713042937037,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,ALEXANDER AVENUE,WILLIS AVENUE BRIDGE BIKE PATH,BRUCKNER BOULEVARD,,,Thursday,23,40.80668082306801,-73.92713042937037,"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
